#lens_name, Survey name, Spectrograph, RA/Dec, z_len, z_src, \sigma_{obs}, \sigma_{obs}_err, seeing50, s_{fib}, velocity bias b_\sigma, <\kappa_{LSS}^2>^{1/2}
#z_len--from DR17. For duplicate lenses, redshifts and velocity dispersions are taken from entries with specprimary=1.
#For SLACSJ0157$-$0056, the velocity dispersion measured by BOSS is adopted.
J1630+4520     SLACS      SDSS  163028.16+452036.3      0.247889      0.793300    252.238770     16.095854      1.543330      1.134322      1.027296      0.012500
J1633+1441      S4TM      SDSS  163344.16+144154.9      0.128102      0.580403    234.438156      9.058434      1.122500      1.160481      1.027696      0.006430
J1636+4707     SLACS      SDSS  163602.62+470729.6      0.228203      0.674500    222.946960     15.157878      1.353330      1.129591      1.033584      0.010670
J2238-0754     SLACS      SDSS  223840.20-075456.0      0.137119      0.712561    222.263031     10.746911      1.547500      1.134647      1.037191      0.007610
J2300+0022     SLACS      SDSS  230053.14+002237.9      0.228468      0.463466    267.219299     18.099037      1.933330      1.193448      1.031796      0.008030
J2303+1422     SLACS      SDSS  230321.72+142217.9      0.155290      0.516965    248.746017     15.258870      1.483330      1.130600      1.046356      0.006900
J2309-0039      S4TM      SDSS  230946.36-003912.9      0.290511      1.004790    185.133743     13.977398      1.690000      1.150341      1.017386      0.015970
J2321-0939     SLACS      SDSS  232120.93-093910.3      0.081854      0.532400    238.834305      7.955671      1.580000      1.137463      1.032543      0.004240
J2324+0105      S4TM      SDSS  232427.77+010558.5      0.189936      0.277520    245.064941     15.065539      1.723330      1.155157      1.060710      0.004510
J2341+0000     SLACS      SDSS  234111.57+000018.7      0.185950      0.807025    223.813156     13.710816      1.416670      1.128768      1.054833      0.010310
J0151+0049     BELLS      BOSS  015107.37+004909.0      0.517113      1.363570      0.000000      0.000000      0.000000      0.878739      1.052807      0.026560
J0747+4448     BELLS      BOSS  074734.75+444859.3      0.436410      0.896565    232.130310     39.551411      0.000000      0.878739      1.050986      0.018500
J0747+5055     BELLS      BOSS  074724.12+505537.5      0.438442      0.898313    240.234375     39.605904      0.000000      0.878739      1.035527      0.018560
J0801+4727     BELLS      BOSS  080105.30+472749.6      0.483168      1.518070    117.016052     24.765310      0.000000      0.878739      1.016392      0.027250
J0830+5116     BELLS      BOSS  083049.73+511631.8      0.530210      1.331670    225.900391     33.279213      0.000000      0.878739      1.037916      0.026480
J0944-0147     BELLS      BOSS  094427.47-014742.4      0.538887      1.178550    171.042755     43.027702      0.000000      0.878739      1.026266      0.024640
